Unnamed: 0,id,id_str,url,date,user,lang,rawContent,replyCount,retweetCount,likeCount,quoteCount,conversationId,hashtags,cashtags,mentionedUsers,links,viewCount,retweetedTweet,quotedTweet,place,coordinates,inReplyToTweetId,inReplyToUser,source,sourceUrl,sourceLabel,media,_type
2,1701995859229958189,1701995859229958189,https://twitter.com/DrDavidCabrera/status/1701995859229958189,2023-09-13 16:26:49+00:00,"{'id': 743252657083650048, 'id_str': '743252657083650048', 'url': 'https://twitter.com/DrDavidCabrera', 'username': 'DrDavidCabrera', 'displayname': 'DrDavidCabrera', 'rawDescription': 'Médico especialista en medicina deportiva, rehabilitación y obesidad en #UIO Ecuador. Instagram: @drdavidcabrera 📲  0999 05 50 59', 'created': datetime.datetime(2016, 6, 16, 1, 23, 37, tzinfo=datetime.timezone.utc), 'followersCount': 20837, 'friendsCount': 29, 'statusesCount': 11968, 'favouritesCount': 11890, 'listedCount': 32, 'mediaCount': 1484, 'location': 'Quito, Ecuador', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1331432736834408449/0_d-H5QX_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/743252657083650048/1607707588', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [{'url': 'http://www.drdavidcabrera.com', 'text': 'drdavidcabrera.com', 'tcourl': 'https://t.co/jV8pOMjPqM'}], '_type': 'snscrape.modules.twitter.User'}",es,"Paciente de 39 años, dolor lumbar de 1 año tras caída.

Hizo 45 sesiones de fisio SIN mejoría. Sugirieron cirugía.

Acudió por 2da opinión e iniciamos protocolo robótico:

-Robot ADAMO
-Robot Láser
-Robot Descompresión Espinal

MEJORÍA COMPLETA (9 semanas)

UIO☎️📲0999 055 059 https://t.co/CNh0gtdTBw",2,17,91,0,1701995859229958189,[],[],[],[],47277.0,,,,,,,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">advertiser-interface</a>",https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels,advertiser-interface,"{'photos': [{'url': 'https://pbs.twimg.com/media/F4okpdaXIAAwLoW.jpg'}], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
20,1702106431657214461,1702106431657214461,https://twitter.com/MPguatemala/status/1702106431657214461,2023-09-13 23:46:11+00:00,"{'id': 609174347, 'id_str': '609174347', 'url': 'https://twitter.com/MPguatemala', 'username': 'MPguatemala', 'displayname': 'MP de Guatemala', 'rawDescription': 'Institución con funciones autónomas, promueve la persecución penal, dirige e investiga los delitos de acción pública, actuando y velando por cumplir la ley.', 'created': datetime.datetime(2012, 6, 15, 15, 4, 23, tzinfo=datetime.timezone.utc), 'followersCount': 428100, 'friendsCount': 225, 'statusesCount': 147389, 'favouritesCount': 2112, 'listedCount': 628, 'mediaCount': 90302, 'location': 'Guatemala', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1697771487636156416/Gi8JQZxe_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/609174347/1693570140', 'protected': None, 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': [{'url': 'http://www.mp.gob.gt', 'text': 'mp.gob.gt', 'tcourl': 'https://t.co/dstzZz1Odl'}], '_type': 'snscrape.modules.twitter.User'}",es,"📢 #ComunicadoDePrensa 
El Ministerio Público a la población en general informa: https://t.co/sqEAwX4dw2",0,88,190,209,1702106431657214461,['ComunicadoDePrensa'],[],[],[],123977.0,,,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,"{'photos': [{'url': 'https://pbs.twimg.com/media/F58YxbTWgAAkgtu.jpg'}, {'url': 'https://pbs.twimg.com/media/F58YxxVXMAAPefw.jpg'}], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
21,1681083897730199552,1681083897730199552,https://twitter.com/UTEoficial/status/1681083897730199552,2023-07-17 23:30:08+00:00,"{'id': 943646011, 'id_str': '943646011', 'url': 'https://twitter.com/UTEoficial', 'username': 'UTEoficial', 'displayname': 'Universidad UTE', 'rawDescription': 'Somos una comunidad académica humanista e innovadora, generadora de saberes mediante la investigación. Nuestro rector es: Dr. Ricardo Hidalgo Ottolenghi', 'created': datetime.datetime(2012, 11, 12, 14, 16, 55, tzinfo=datetime.timezone.utc), 'followersCount': 12104, 'friendsCount': 559, 'statusesCount': 33300, 'favouritesCount': 9081, 'listedCount': 48, 'mediaCount': 25415, 'location': 'Ecuador', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1691094927155855360/SshyCRIu_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/943646011/1687740067', 'protected': None, 'verified': False, 'blue': False, 'blueType': 'Business', 'descriptionLinks': [{'url': 'http://www.ute.edu.ec', 'text': 'ute.edu.ec', 'tcourl': 'https://t.co/sLMAMpUHn5'}], '_type': 'snscrape.modules.twitter.User'}",es,"Conviértete en Magister en Sistemas de Gestión de Calidad👌🏼

Asegura la seguridad de los trabajadores y controla los impactos ambientales a través de un sólido sistema de gestión.

👀Modalidad En Línea.
👉🏼¡INSCRÍBETE HOY!

#UTE #MejorasTuMejoraTodo #SomosTigres",0,12,220,0,1681083897730199552,"['UTE', 'MejorasTuMejoraTodo', 'SomosTigres']",[],[],[],1815142.0,,,,,,,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",https://twitter.com,Twitter for Advertisers,"{'photos': [], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
36,1702088813042954628,1702088813042954628,https://twitter.com/AnonGTReloaded/status/1702088813042954628,2023-09-13 22:36:10+00:00,"{'id': 1419402501212811265, 'id_str': '1419402501212811265', 'url': 'https://twitter.com/AnonGTReloaded', 'username': 'AnonGTReloaded', 'displayname': 'Anon Guatemala', 'rawDescription': 'Somos #AnonymousGuatemala , estamos en contra de la corrupción e impunidad, de las injusticias y de la cooptación del Estado, somos parte del pueblo!…', 'created': datetime.datetime(2021, 7, 25, 21, 4, 17, tzinfo=datetime.timezone.utc), 'followersCount': 11149, 'friendsCount': 167, 'statusesCount': 3159, 'favouritesCount': 12532, 'listedCount': 23, 'mediaCount': 2490, 'location': 'Guatemala', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1477092228396986368/_eKgfjLn_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1419402501212811265/1627364617', 'protected': None, 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': [], '_type': 'snscrape.modules.twitter.User'}",es,"#Denuncia

¡Saludos Mundo!

En San Pablo La Laguna existen unos estafadores que están vendiendo plazas a nombre de @msemillagt y de @BArevalodeLeon , a esto hay que ponerle atención, porque están usando el nombre del presidente electo, cobrando por plazas que nunca van a dar.. https://t.co/dPNxfx8Kta",30,357,386,12,1702088813042954628,['Denuncia'],[],"[{'id': 2836151805, 'username': 'msemillagt', 'displayname': 'Movimiento Semilla 🌱', '_type': 'snscrape.modules.twitter.UserRef'}, {'id': 945378369818058752, 'username': 'BArevalodeLeon', 'displayname': 'Bernardo Arévalo de León', '_type': 'snscrape.modules.twitter.UserRef'}]",[],18261.0,,,,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,"{'photos': [], 'videos': [{'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1702088656956030976/pu/img/c_gbuXYlSB14pp35.jpg', 'variants': [{'contentType': 'video/mp4', 'bitrate': 950000, 'url': 'https://video.twimg.com/ext_tw_video/1702088656956030976/pu/vid/avc1/356x640/5d7ZGhbTYTPBq2sl.mp4?tag=12'}, {'contentType': 'video/mp4', 'bitrate': 632000, 'url': 'https://video.twimg.com/ext_tw_video/1702088656956030976/pu/vid/avc1/320x574/NuVUO1rwF44aUgoU.mp4?tag=12'}], 'duration': 58166, 'views': 7141}], 'animated': []}",snscrape.modules.twitter.Tweet
45,1696207941882507648,1696207941882507648,https://twitter.com/BancoPacificoEC/status/1696207941882507648,2023-08-28 17:07:42+00:00,"{'id': 361343242, 'id_str': '361343242', 'url': 'https://twitter.com/BancoPacificoEC', 'username': 'BancoPacificoEC', 'displayname': 'Banco del Pacífico', 'rawDescription': 'Cuenta oficial de Banco del Pacífico. Pueden escribirnos también a webadminbp@pacifico.fin.ec, estaremos gustosos en atenderte.', 'created': datetime.datetime(2011, 8, 24, 16, 57, 19, tzinfo=datetime.timezone.utc), 'followersCount': 315744, 'friendsCount': 7006, 'statusesCount': 63791, 'favouritesCount': 1520, 'listedCount': 138, 'mediaCount': 6435, 'location': 'Ecuador', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1526655422857465859/QHJFfhqI_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/361343242/1652983809', 'protected': None, 'verified': False, 'blue': False, 'blueType': 'Business', 'descriptionLinks': [{'url': 'http://www.bancodelpacifico.com', 'text': 'bancodelpacifico.com', 'tcourl': 'https://t.co/ENS9h7IAXs'}], '_type': 'snscrape.modules.twitter.User'}",es,"Si amenazan con bloquear tu cuenta #DateCuentaNoDesTuCuenta 🚨🚨

No entregues tus datos personales. Confirma la información, asegúrate de estar conversando con nuestros canales oficiales y reporta correos, llamadas o mensajes sospechosos al: 3731500 https://t.co/v5NXLS1bjz",1,28,153,7,1696207941882507648,['DateCuentaNoDesTuCuenta'],[],[],[],1068698.0,,,,,,,"<a href=""http://www.socialbakers.com/"" rel=""nofollow"">Emplifi</a>",http://www.socialbakers.com/,Emplifi,"{'photos': [], 'videos': [{'thumbnailUrl': 'https://pbs.twimg.com/media/F4okE9-a0AAv6MV.jpg', 'variants': [{'contentType': 'video/mp4', 'bitrate': 432000, 'url': 'https://video.twimg.com/ext_tw_video/1696207876543631360/pu/vid/320x320/v3tHsmKrpRy6E4Pq.mp4?tag=12'}, {'contentType': 'video/mp4', 'bitrate': 832000, 'url': 'https://video.twimg.com/ext_tw_video/1696207876543631360/pu/vid/540x540/CJcVlUIDF8dC4-lo.mp4?tag=12'}, {'contentType': 'video/mp4', 'bitrate': 1280000, 'url': 'https://video.twimg.com/ext_tw_video/1696207876543631360/pu/vid/720x720/rEpHXWCqEm10EVCM.mp4?tag=12'}], 'duration': 15041, 'views': 236127}], 'animated': []}",snscrape.modules.twitter.Tweet
58,1681288963296829441,1681288963296829441,https://twitter.com/santor_security/status/1681288963296829441,2023-07-18 13:05:00+00:00,"{'id': 706556461, 'id_str': '706556461', 'url': 'https://twitter.com/santor_security', 'username': 'santor_security', 'displayname': 'Santor Security Inc.', 'rawDescription': '👋🏼 Welcome to https://t.co/Afazyig7Mz! 🌐 Protect your conversations with HARP speech privacy systems 🚫👂🏼 #NoMoreEavesdropping 🤫 Prevent listening device leaks!📲👂🏼', 'created': datetime.datetime(2012, 7, 20, 6, 7, 28, tzinfo=datetime.timezone.utc), 'followersCount': 2076, 'friendsCount': 2, 'statusesCount': 12, 'favouritesCount': 0, 'listedCount': 4, 'mediaCount': 9, 'location': 'Canada', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1628762964554657794/ZuSYS88n_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/706556461/1677162811', 'protected': None, 'verified': False, 'blue': False, 'blueType': 'Business', 'descriptionLinks': [{'url': 'http://santor.com', 'text': 'santor.com', 'tcourl': 'https://t.co/Afazyig7Mz'}, {'url': 'http://santor.com', 'text': 'santor.com', 'tcourl': 'https://t.co/Afazyig7Mz'}], '_type': 'snscrape.modules.twitter.User'}",es,Proteja las conversaciones confidenciales con el Protector de Voz HARP®. Garantice una comunicación segura en los sectores gubernamental y de defensa. Haga clic para obtener más información.,56,406,1419,9,1681288963296829441,[],[],[],[],6426484.0,,,,,,,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">advertiser-interface</a>",https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels,advertiser-interface,"{'photos': [], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
81,1680963814479613958,1680963814479613958,https://twitter.com/SensaHealth/status/1680963814479613958,2023-07-17 15:32:58+00:00,"{'id': 1555154364901236736, 'id_str': '1555154364901236736', 'url': 'https://twitter.com/SensaHealth', 'username': 'SensaHealth', 'displayname': 'SensaHealth', 'rawDescription': 'Build healthy habits – one step at a time with Sensa health.', 'created': datetime.datetime(2022, 8, 4, 11, 31, 35, tzinfo=datetime.timezone.utc), 'followersCount': 73437, 'friendsCount': 12, 'statusesCount': 200, 'favouritesCount': 29, 'listedCount': 352, 'mediaCount': 25, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1555158918049005569/sHpVjztt_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1555154364901236736/1659613851', 'protected': None, 'verified': False, 'blue': False, 'blueType': 'Business', 'descriptionLinks': [{'url': 'https://sensa.health', 'text': 'sensa.health', 'tcourl': 'https://t.co/O9T6lRkUKL'}], '_type': 'snscrape.modules.twitter.User'}",en,Procrastination is not laziness. It’s an emotional regulation problem that can contribute to stress and anxiety. Explore science-based techniques to overcome procrastination and feel better.,8133,13092,57629,480,1680963814479613958,[],[],[],[],82998529.0,,,,,,,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">advertiser-interface</a>",https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels,advertiser-interface,"{'photos': [], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
88,1681424120385290242,1681424120385290242,https://twitter.com/UTEoficial/status/1681424120385290242,2023-07-18 22:02:04+00:00,"{'id': 943646011, 'id_str': '943646011', 'url': 'https://twitter.com/UTEoficial', 'username': 'UTEoficial', 'displayname': 'Universidad UTE', 'rawDescription': 'Somos una comunidad académica humanista e innovadora, generadora de saberes mediante la investigación. Nuestro rector es: Dr. Ricardo Hidalgo Ottolenghi', 'created': datetime.datetime(2012, 11, 12, 14, 16, 55, tzinfo=datetime.timezone.utc), 'followersCount': 12104, 'friendsCount': 559, 'statusesCount': 33300, 'favouritesCount': 9081, 'listedCount': 48, 'mediaCount': 25415, 'location': 'Ecuador', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1691094927155855360/SshyCRIu_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/943646011/1687740067', 'protected': None, 'verified': False, 'blue': False, 'blueType': 'Business', 'descriptionLinks': [{'url': 'http://www.ute.edu.ec', 'text': 'ute.edu.ec', 'tcourl': 'https://t.co/sLMAMpUHn5'}], '_type': 'snscrape.modules.twitter.User'}",es,"¡Está en tus manos construir un futuro brillante! 🎓

 Conviértete en un Magíster en Educación✨ mientras profundiza tus conocimientos en metodologías innovadoras y adquiere nuevas herramientas pedagógicas.

👀Modalidad En Línea.
👉🏼¡INSCRÍBETE HOY!

#UTE #SomosTigres",0,35,291,0,1681424120385290242,"['UTE', 'SomosTigres']",[],[],[],2859513.0,,,,,,,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",https://twitter.com,Twitter for Advertisers,"{'photos': [], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
91,1701995859229958189,1701995859229958189,https://twitter.com/DrDavidCabrera/status/1701995859229958189,2023-09-13 16:26:49+00:00,"{'id': 743252657083650048, 'id_str': '743252657083650048', 'url': 'https://twitter.com/DrDavidCabrera', 'username': 'DrDavidCabrera', 'displayname': 'DrDavidCabrera', 'rawDescription': 'Médico especialista en medicina deportiva, rehabilitación y obesidad en #UIO Ecuador. Instagram: @drdavidcabrera 📲  0999 05 50 59', 'created': datetime.datetime(2016, 6, 16, 1, 23, 37, tzinfo=datetime.timezone.utc), 'followersCount': 20837, 'friendsCount': 29, 'statusesCount': 11968, 'favouritesCount': 11890, 'listedCount': 32, 'mediaCount': 1484, 'location': 'Quito, Ecuador', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1331432736834408449/0_d-H5QX_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/743252657083650048/1607707588', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [{'url': 'http://www.drdavidcabrera.com', 'text': 'drdavidcabrera.com', 'tcourl': 'https://t.co/jV8pOMjPqM'}], '_type': 'snscrape.modules.twitter.User'}",es,"Paciente de 39 años, dolor lumbar de 1 año tras caída.

Hizo 45 sesiones de fisio SIN mejoría. Sugirieron cirugía.

Acudió por 2da opinión e iniciamos protocolo robótico:

-Robot ADAMO
-Robot Láser
-Robot Descompresión Espinal

MEJORÍA COMPLETA (9 semanas)

UIO☎️📲0999 055 059 https://t.co/CNh0gtdTBw",2,17,91,0,1701995859229958189,[],[],[],[],47277.0,,,,,,,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">advertiser-interface</a>",https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels,advertiser-interface,"{'photos': [{'url': 'https://pbs.twimg.com/media/F4okpdaXIAAwLoW.jpg'}], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
96,1702028206738489775,1702028206738489775,https://twitter.com/drewzecena/status/1702028206738489775,2023-09-13 18:35:21+00:00,"{'id': 80146329, 'id_str': '80146329', 'url': 'https://twitter.com/drewzecena', 'username': 'drewzecena', 'displayname': 'Andrea María 🌱', 'rawDescription': 'Me dijeron que parezco más punk que abogada, y lo considere un lujo 🦔 diputada electa por @msemillagt 🌱 #hastaSerMayoría', 'created': datetime.datetime(2009, 10, 5, 22, 44, 30, tzinfo=datetime.timezone.utc), 'followersCount': 13048, 'friendsCount': 2116, 'statusesCount': 104009, 'favouritesCount': 150297, 'listedCount': 33, 'mediaCount': 4785, 'location': 'una panel con gnomos', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1684774332244070400/vdtW_GSO_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/80146329/1688140839', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [], '_type': 'snscrape.modules.twitter.User'}",es,"¿Con que autoridad está el MP CONTANDO?! 

Una total falta de respeto al trabajo voluntario de miles ciudadanos que dejaron la piel el 25 de junio y el 20 de agosto. https://t.co/Ld3UxRfhhT",445,1723,3524,417,1702028206738489775,[],[],[],[],383065.0,,,,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,"{'photos': [], 'videos': [{'thumbnailUrl': 'https://pbs.twimg.com/amplify_video_thumb/1702028142984982528/img/Bkfa_KuIi_2kjo1L.jpg', 'variants': [{'contentType': 'video/mp4', 'bitrate': 632000, 'url': 'https://video.twimg.com/amplify_video/1702028142984982528/vid/avc1/320x576/YaH7p_td6uq_yRsk.mp4?tag=14'}, {'contentType': 'video/mp4', 'bitrate': 950000, 'url': 'https://video.twimg.com/amplify_video/1702028142984982528/vid/avc1/480x864/pDPNoDE4xSYijEBm.mp4?tag=14'}], 'duration': 16068, 'views': 104112}], 'animated': []}",snscrape.modules.twitter.Tweet
