Unnamed: 0,id,id_str,url,date,user,lang,rawContent,replyCount,retweetCount,likeCount,quoteCount,conversationId,hashtags,cashtags,mentionedUsers,links,viewCount,retweetedTweet,quotedTweet,place,coordinates,inReplyToTweetId,inReplyToUser,source,sourceUrl,sourceLabel,media,_type
2,1701176209076609121,1701176209076609121,https://twitter.com/iRizhao/status/1701176209076609121,2023-09-11 10:09:49+00:00,"{'id': 1533663614770421761, 'id_str': '1533663614770421761', 'url': 'https://twitter.com/iRizhao', 'username': 'iRizhao', 'displayname': 'Rizhao of China', 'rawDescription': 'Welcome to Rizhao, where the light of the rising sun can first be seen.', 'created': datetime.datetime(2022, 6, 6, 4, 14, 50, tzinfo=datetime.timezone.utc), 'followersCount': 9223, 'friendsCount': 288, 'statusesCount': 435, 'favouritesCount': 1385, 'listedCount': 26, 'mediaCount': 338, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1533664231828074496/_89hBiBF_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1533663614770421761/1684484853', 'protected': None, 'verified': False, 'blue': False, 'blueType': 'Business', 'descriptionLinks': [], '_type': 'snscrape.modules.twitter.User'}",en,"The 2023 National Race Walking Championship &amp; Youth Championship 2x10km Event sprinted into action in #Rizhao on Sept 8! 114 athletes admired the city's beauty as they ran, savoring its ecological allure! #RizhaoFocus [Photo/Liu Jin] https://t.co/AFoYHZ4SLh",5,34,647,1,1701176209076609121,"['Rizhao', 'RizhaoFocus']",[],[],[],52257.0,,,,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,"{'photos': [{'url': 'https://pbs.twimg.com/media/F5vKvN_boAAl_0n.jpg'}, {'url': 'https://pbs.twimg.com/media/F5vKvO0awAAHlss.jpg'}, {'url': 'https://pbs.twimg.com/media/F5vKvP6aIAAcORE.jpg'}, {'url': 'https://pbs.twimg.com/media/F5vKvRHaoAAvmC5.jpg'}], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
8,1701683348756730305,1701683348756730305,https://twitter.com/bernardosilvagt/status/1701683348756730305,2023-09-12 19:45:00+00:00,"{'id': 3337026291, 'id_str': '3337026291', 'url': 'https://twitter.com/bernardosilvagt', 'username': 'bernardosilvagt', 'displayname': 'Bernardo Silva 🌱', 'rawDescription': 'Soy mestizo, empresario y anhelo el buen vivir para todos con justicia social y oportunidades de desarrollo.', 'created': datetime.datetime(2015, 6, 20, 15, 18, tzinfo=datetime.timezone.utc), 'followersCount': 7502, 'friendsCount': 2167, 'statusesCount': 49433, 'favouritesCount': 64612, 'listedCount': 6, 'mediaCount': 6100, 'location': 'Guatemala', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1695465984453128193/AzweibOj_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/3337026291/1693052210', 'protected': None, 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': [], '_type': 'snscrape.modules.twitter.User'}",es,"¡ENTREGARE EL PODER A @BArevalodeLeon EL 14 A LAS 14!

""Se los juro por la vida de mi madre muerta"" @DrGiammattei 🤡 https://t.co/9BfxdQpclV",2,21,46,0,1701683348756730305,[],[],"[{'id': 945378369818058752, 'username': 'BArevalodeLeon', 'displayname': 'Bernardo Arévalo de León', '_type': 'snscrape.modules.twitter.UserRef'}, {'id': 187793278, 'username': 'DrGiammattei', 'displayname': 'Alejandro Giammattei', '_type': 'snscrape.modules.twitter.UserRef'}]",[],983.0,,,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,"{'photos': [{'url': 'https://pbs.twimg.com/media/F52X_OnXEAAVCj6.jpg'}], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
10,1701456247969505758,1701456247969505758,https://twitter.com/CoronaVirusGT/status/1701456247969505758,2023-09-12 04:42:35+00:00,"{'id': 1222046345873297410, 'id_str': '1222046345873297410', 'url': 'https://twitter.com/CoronaVirusGT', 'username': 'CoronaVirusGT', 'displayname': '@CoronaVirusGT', 'rawDescription': 'Información del avance del #CoronavirusGT en Guatemala.', 'created': datetime.datetime(2020, 1, 28, 6, 38, 59, tzinfo=datetime.timezone.utc), 'followersCount': 22142, 'friendsCount': 890, 'statusesCount': 28546, 'favouritesCount': 94121, 'listedCount': 44, 'mediaCount': 7785, 'location': 'Guatemala', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1562247057494228992/zmcyT6j5_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1222046345873297410/1681312974', 'protected': None, 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': [{'url': 'http://www.coronavirusgt.gt', 'text': 'coronavirusgt.gt', 'tcourl': 'https://t.co/gP01hv1XrN'}], '_type': 'snscrape.modules.twitter.User'}",es,"No entiendo,  como le van a creer a alguien que habla así, cuando antes habló así. 

Y saben que es lo más triste,  que hasta ustedes tuiteros ya le creyeron y ahora dicen ""que buen discurso, ya se peleó con Consuelo,  ya se separó de la mafia ""
Volvimos a caer 🤷 https://t.co/TRQIO6YKSV",103,153,468,19,1701456247969505758,[],[],[],[],29850.0,,,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,"{'photos': [], 'videos': [{'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1701456208471736320/pu/img/Rmos-8jh4C-ssQly.jpg', 'variants': [{'contentType': 'video/mp4', 'bitrate': 832000, 'url': 'https://video.twimg.com/ext_tw_video/1701456208471736320/pu/vid/avc1/628x360/Aiw2XeaT3koRVBxs.mp4?tag=12'}, {'contentType': 'video/mp4', 'bitrate': 256000, 'url': 'https://video.twimg.com/ext_tw_video/1701456208471736320/pu/vid/avc1/470x270/vG4yXUxraEFwiOvv.mp4?tag=12'}, {'contentType': 'video/mp4', 'bitrate': 2176000, 'url': 'https://video.twimg.com/ext_tw_video/1701456208471736320/pu/vid/avc1/1258x720/-nZWqR_irJRrUPlT.mp4?tag=12'}], 'duration': 30840, 'views': 12202}], 'animated': []}",snscrape.modules.twitter.Tweet
29,1701675743095177244,1701675743095177244,https://twitter.com/julioserrano/status/1701675743095177244,2023-09-12 19:14:47+00:00,"{'id': 14083287, 'id_str': '14083287', 'url': 'https://twitter.com/julioserrano', 'username': 'julioserrano', 'displayname': 'Julio Serrano Echeverría', 'rawDescription': 'Poeta, autor de literatura infantil, documentalista y artesano de la fotografía. Cofundador de @agenciaocote Cuenta y opinión personal', 'created': datetime.datetime(2008, 3, 5, 14, 41, 37, tzinfo=datetime.timezone.utc), 'followersCount': 9495, 'friendsCount': 2423, 'statusesCount': 70919, 'favouritesCount': 25802, 'listedCount': 72, 'mediaCount': 4345, 'location': 'Guatemala', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1687912916979183616/v0LXVK-3_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/14083287/1667225561', 'protected': None, 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': [{'url': 'https://linktr.ee/JulioSE', 'text': 'linktr.ee/JulioSE', 'tcourl': 'https://t.co/GB8fxKBxtl'}], '_type': 'snscrape.modules.twitter.User'}",es,"No espero un gobierno de @BArevalodeLeon basado en venganzas, ni espionaje, ni criminalización; pero espero contundencia ante este sistema del sicariato de la democracia, ni olvido ni perdón para los nuevos crímenes de lesa humanidad promovidos por Giammattei.",5,93,303,2,1701675743095177244,[],[],"[{'id': 945378369818058752, 'username': 'BArevalodeLeon', 'displayname': 'Bernardo Arévalo de León', '_type': 'snscrape.modules.twitter.UserRef'}]",[],5716.0,,,,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,"{'photos': [], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
35,1701654175019381216,1701654175019381216,https://twitter.com/hshetemul/status/1701654175019381216,2023-09-12 17:49:05+00:00,"{'id': 633615711, 'id_str': '633615711', 'url': 'https://twitter.com/hshetemul', 'username': 'hshetemul', 'displayname': 'Haroldo Shetemul', 'rawDescription': 'Apasionado por el periodismo desde hace 4 décadas, iconoclasta y crítico por naturaleza. Sociólogo, columnista y profesor universitario.', 'created': datetime.datetime(2012, 7, 12, 7, 10, 35, tzinfo=datetime.timezone.utc), 'followersCount': 19284, 'friendsCount': 514, 'statusesCount': 25822, 'favouritesCount': 4879, 'listedCount': 76, 'mediaCount': 1115, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1381472383798804496/_GcqabTu_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/633615711/1689896141', 'protected': None, 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': [], '_type': 'snscrape.modules.twitter.User'}",es,El Movimiento Semilla y sus líderes se están durmiendo con el show barato de Giammattei y no accionan ante la arremetida que el mismo presidente les está dando por medio de Consuelo Porras y Curruchiche.,23,146,322,8,1701654175019381216,[],[],[],[],13146.0,,,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,"{'photos': [], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
57,1701659833986896044,1701659833986896044,https://twitter.com/RMendezRuiz/status/1701659833986896044,2023-09-12 18:11:34+00:00,"{'id': 475446267, 'id_str': '475446267', 'url': 'https://twitter.com/RMendezRuiz', 'username': 'RMendezRuiz', 'displayname': 'Ricardo Mendez Ruiz', 'rawDescription': 'Incluido en la lista Engel por defender a nuestros veteranos🎖. Empresario. Activista de ultra derecha. Pdte de la Fundación Contra el Terrorismo (FCT).🇬🇹🇬🇹', 'created': datetime.datetime(2012, 1, 27, 2, 18, 38, tzinfo=datetime.timezone.utc), 'followersCount': 28891, 'friendsCount': 3250, 'statusesCount': 50089, 'favouritesCount': 83032, 'listedCount': 92, 'mediaCount': 7488, 'location': 'Guatemala', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1533602610514624513/th5XJmHA_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/475446267/1693617300', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [], '_type': 'snscrape.modules.twitter.User'}",es,"Atrás quedó la sempiterna chumpita de cuero café de @samuel_pz.
Ahora que ya fluye el dinero de generosos “donantes”, le alcanza y le sobra para un traje decente y anteojos con aro de marca.
Así son los chairos: se transforman en burgueses en un dos por tres. https://t.co/JLHOVM9FCh",436,158,566,38,1701659833986896044,[],[],"[{'id': 338653885, 'username': 'samuel_pz', 'displayname': 'Samuel Pérez Álvarez 🌱', '_type': 'snscrape.modules.twitter.UserRef'}]",[],66090.0,,,,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,"{'photos': [{'url': 'https://pbs.twimg.com/media/F52CmVQXEAAcMJg.jpg'}], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
62,1701654175019381216,1701654175019381216,https://twitter.com/hshetemul/status/1701654175019381216,2023-09-12 17:49:05+00:00,"{'id': 633615711, 'id_str': '633615711', 'url': 'https://twitter.com/hshetemul', 'username': 'hshetemul', 'displayname': 'Haroldo Shetemul', 'rawDescription': 'Apasionado por el periodismo desde hace 4 décadas, iconoclasta y crítico por naturaleza. Sociólogo, columnista y profesor universitario.', 'created': datetime.datetime(2012, 7, 12, 7, 10, 35, tzinfo=datetime.timezone.utc), 'followersCount': 19284, 'friendsCount': 514, 'statusesCount': 25822, 'favouritesCount': 4879, 'listedCount': 76, 'mediaCount': 1115, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1381472383798804496/_GcqabTu_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/633615711/1689896141', 'protected': None, 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': [], '_type': 'snscrape.modules.twitter.User'}",es,El Movimiento Semilla y sus líderes se están durmiendo con el show barato de Giammattei y no accionan ante la arremetida que el mismo presidente les está dando por medio de Consuelo Porras y Curruchiche.,23,146,322,8,1701654175019381216,[],[],[],[],13146.0,,"{'id': 1701643979131851249, 'id_str': '1701643979131851249', 'url': 'https://twitter.com/PEdgar05/status/1701643979131851249', 'date': datetime.datetime(2023, 9, 12, 17, 8, 34, tzinfo=datetime.timezone.utc), 'user': {'id': 1257861614340124673, 'id_str': '1257861614340124673', 'url': 'https://twitter.com/PEdgar05', 'username': 'PEdgar05', 'displayname': 'P. Edgar', 'rawDescription': 'Las opiniones que twitteo son estrictamente personales, como ciudadano, me duele Guatemala y espero el día en que florezca Guatemala en paz y justicia.', 'created': datetime.datetime(2020, 5, 6, 2, 36, 8, tzinfo=datetime.timezone.utc), 'followersCount': 20390, 'friendsCount': 2331, 'statusesCount': 6574, 'favouritesCount': 8626, 'listedCount': 21, 'mediaCount': 389, 'location': 'Guatemala', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1697980902356242432/N4DexTZK_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1257861614340124673/1692456588', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [], '_type': 'snscrape.modules.twitter.User'}, 'lang': 'es', 'rawContent': 'Amigos del Partido Semilla, ante el impune proceder del MP y los jueces corruptos, ustedes están muy pasmados. Giamattei les está dorando  la píldora y ustedes parece que no se enteran. Recuerden que ustedes tienen el respaldo popular, no le tengan miedo a un hipotético estado de sitio, convoquen al pueblo para hacerle frente a las envestidas del pacto de golpistas; ellos están envalentonados por la pasividad de ustedes.', 'replyCount': 66, 'retweetCount': 511, 'likeCount': 1635, 'quoteCount': 31, 'conversationId': 1701643979131851249, 'hashtags': [], 'cashtags': [], 'mentionedUsers': [], 'links': [], 'viewCount': 86450, 'retweetedTweet': None, 'quotedTweet': None, 'place': None, 'coordinates': None, 'inReplyToTweetId': None, 'inReplyToUser': None, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'sourceUrl': 'http://twitter.com/download/iphone', 'sourceLabel': 'Twitter for iPhone', 'media': {'photos': [], 'videos': [], 'animated': []}, '_type': 'snscrape.modules.twitter.Tweet'}",,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,"{'photos': [], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
64,1701643979131851249,1701643979131851249,https://twitter.com/PEdgar05/status/1701643979131851249,2023-09-12 17:08:34+00:00,"{'id': 1257861614340124673, 'id_str': '1257861614340124673', 'url': 'https://twitter.com/PEdgar05', 'username': 'PEdgar05', 'displayname': 'P. Edgar', 'rawDescription': 'Las opiniones que twitteo son estrictamente personales, como ciudadano, me duele Guatemala y espero el día en que florezca Guatemala en paz y justicia.', 'created': datetime.datetime(2020, 5, 6, 2, 36, 8, tzinfo=datetime.timezone.utc), 'followersCount': 20390, 'friendsCount': 2331, 'statusesCount': 6574, 'favouritesCount': 8626, 'listedCount': 21, 'mediaCount': 389, 'location': 'Guatemala', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1697980902356242432/N4DexTZK_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1257861614340124673/1692456588', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [], '_type': 'snscrape.modules.twitter.User'}",es,"Amigos del Partido Semilla, ante el impune proceder del MP y los jueces corruptos, ustedes están muy pasmados. Giamattei les está dorando  la píldora y ustedes parece que no se enteran. Recuerden que ustedes tienen el respaldo popular, no le tengan miedo a un hipotético estado de sitio, convoquen al pueblo para hacerle frente a las envestidas del pacto de golpistas; ellos están envalentonados por la pasividad de ustedes.",66,511,1635,31,1701643979131851249,[],[],[],[],86450.0,,,,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,"{'photos': [], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
69,1702086503772434695,1702086503772434695,https://twitter.com/QuorumGT/status/1702086503772434695,2023-09-13 22:27:00+00:00,"{'id': 1384532486575820803, 'id_str': '1384532486575820803', 'url': 'https://twitter.com/QuorumGT', 'username': 'QuorumGT', 'displayname': 'Quorum', 'rawDescription': '⚡ Informamos sobre el presente para construir un mejor futuro⭐', 'created': datetime.datetime(2021, 4, 20, 15, 41, 18, tzinfo=datetime.timezone.utc), 'followersCount': 23531, 'friendsCount': 96, 'statusesCount': 7487, 'favouritesCount': 1674, 'listedCount': 104, 'mediaCount': 4110, 'location': 'Guatemala', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1618291250058170374/m2_OW_Qh_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1384532486575820803/1674665676', 'protected': None, 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': [{'url': 'http://quorum.gt', 'text': 'quorum.gt', 'tcourl': 'https://t.co/0uUSjCc344'}], '_type': 'snscrape.modules.twitter.User'}",es,"🚨#AHORA🚨

❌La Corte Suprema de Justicia no le otorgó el amparo provisional a la UNE con el cual buscaba dejar sin efecto el acuerdo de oficialización de resultados de la segunda vuelta. 🗳️

Vía @jeanellydvg https://t.co/37dCzSSO3N",17,69,365,8,1702086503772434695,['AHORA'],[],"[{'id': 1108824293461426182, 'username': 'jeanellydvg', 'displayname': 'Jeanelly Dabeyba', '_type': 'snscrape.modules.twitter.UserRef'}]",[],13171.0,,,,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,"{'photos': [{'url': 'https://pbs.twimg.com/media/F58GpoaXQAAWM5J.jpg'}], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
72,1702082815301398843,1702082815301398843,https://twitter.com/EmisorasUnidas/status/1702082815301398843,2023-09-13 22:12:20+00:00,"{'id': 40256008, 'id_str': '40256008', 'url': 'https://twitter.com/EmisorasUnidas', 'username': 'EmisorasUnidas', 'displayname': 'Emisoras Unidas', 'rawDescription': 'Primera en Noticias, Primera en Deportes. Sigue toda la información noticiosa de Guatemala y el Mundo.', 'created': datetime.datetime(2009, 5, 15, 14, 55, 55, tzinfo=datetime.timezone.utc), 'followersCount': 1514665, 'friendsCount': 93, 'statusesCount': 761919, 'favouritesCount': 4853, 'listedCount': 2890, 'mediaCount': 366507, 'location': 'Guatemala', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1471117287587524609/J2cnq5Ck_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/40256008/1693550783', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [{'url': 'http://emisorasunidas.com', 'text': 'emisorasunidas.com', 'tcourl': 'https://t.co/YlLH65lmOS'}], '_type': 'snscrape.modules.twitter.User'}",es,La CSJ por unanimidad no otorgó el amparo provisional solicitado por el partido UNE en contra del Acuerdo 1659-2023 del @TSEGuatemala que contiene la oficialización de resultados de la segunda vuelta de elecciones y la adjudicación de cargos de Presidente y Vicepresidente de la República para el periodo 2024-2028. La acción legal fue planteada el pasado 30 de agosto.,41,207,899,25,1702082815301398843,[],[],"[{'id': 246712322, 'username': 'TSEGuatemala', 'displayname': 'TSE Guatemala', '_type': 'snscrape.modules.twitter.UserRef'}]",[],107369.0,,,,,,,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",https://twitter.com,TweetDeck Web App,"{'photos': [{'url': 'https://pbs.twimg.com/media/F58DNQiXMAAcCrX.png'}], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
